Entity,Code,Year,Share of the richest decile in total income or expenditure
Malta,MLT,2019,24.82670617
Indonesia - rural,,2008,24.82470277
Bosnia and Herzegovina,BIH,2001,24.82351299
North Macedonia,MKD,2015,24.81118001
Lithuania,LTU,2010,24.7903672
Lebanon,LBN,2011,24.78925689
Iceland,ISL,2007,24.78372561
Albania,ALB,2015,24.77930791
Indonesia - rural,,2017,24.77442816
Kyrgyzstan,KGZ,2015,24.77225734
Romania,ROU,2015,24.76709762
Estonia,EST,2011,24.75652996
Egypt,EGY,2012,24.74718009
Indonesia - rural,,2009,24.7444993
Bulgaria,BGR,1992,24.74236238
France,FRA,1989,24.72925281
Vanuatu,VUT,2019,24.72878475
Indonesia - rural,,2020,24.72134716
Netherlands,NLD,2006,24.69862433
Italy,ITA,1986,24.69569879
Lithuania,LTU,2000,24.69502932
Germany,DEU,2016,24.69237387
Armenia,ARM,2013,24.6854642
Austria,AUT,2009,24.68330816
Montenegro,MNE,2011,24.67946652
Australia,AUS,1989,24.66685465
Indonesia - rural,,2019,24.66524192
Romania,ROU,1995,24.6546501
Switzerland,CHE,2011,24.65219863
Germany,DEU,2008,24.65018091
Hungary,HUN,2003,24.64956853
Germany,DEU,2011,24.63883005
Canada,CAN,1975,24.63702359
Mongolia,MNG,2002,24.6341885
Kazakhstan,KAZ,2007,24.62365094
Kyrgyzstan,KGZ,2010,24.61753009
Poland,POL,2016,24.61503705
Albania,ALB,2017,24.61243013
Indonesia - rural,,2021,24.61199217
Taiwan,TWN,1995,24.60475774
United Kingdom,GBR,2012,24.60305192
Australia,AUS,1995,24.601701
Slovakia,SVK,2005,24.59106565
Austria,AUT,1994,24.5904133
Croatia,HRV,2001,24.58605066
Rwanda - rural,,1984,24.5846182
Greece,GRC,2003,24.58334142
Bangladesh,BGD,1988,24.58222991
Kyrgyzstan,KGZ,2009,24.57994644
Ireland,IRL,2008,24.57599404
Kosovo,OWID_KOS,2017,24.55945007
Germany,DEU,2017,24.55785525
Sao Tome and Principe,STP,2000,24.54988331
Lithuania,LTU,2011,24.54349423
Montenegro,MNE,2008,24.54236701
Taiwan,TWN,1997,24.54194894
Armenia,ARM,2012,24.54022156
Poland,POL,2019,24.5285876
Moldova,MDA,2011,24.50615751
France,FRA,2004,24.49924494
Romania,ROU,2014,24.4858069
Montenegro,MNE,2007,24.48249659
Montenegro,MNE,2012,24.48222029
Netherlands,NLD,1990,24.47900857
Slovenia,SVN,1993,24.47729335
Romania,ROU,2019,24.46972113
Albania,ALB,2008,24.4583109
Armenia,ARM,2006,24.45401246
South Korea,KOR,2008,24.45065815
United Kingdom,GBR,1986,24.44325455
Luxembourg,LUX,2011,24.43406924
Hungary,HUN,2013,24.43085775
Estonia,EST,2009,24.42515059
India - rural,,1993,24.42060611
Estonia,EST,2015,24.41851025
Germany,DEU,2012,24.40782508
Romania,ROU,1997,24.3847637
Taiwan,TWN,1986,24.3689487
Iceland,ISL,2005,24.35893927
France,FRA,2000,24.35883386
Azerbaijan,AZE,2004,24.35157531
Luxembourg,LUX,2005,24.34634416
Albania,ALB,2005,24.3411681
Luxembourg,LUX,2006,24.32713302
Poland,POL,2017,24.29907975
Indonesia - rural,,2006,24.29165788
Cyprus,CYP,2004,24.29068693
Australia,AUS,1985,24.28965666
Spain,ESP,2005,24.28939751
Taiwan,TWN,1981,24.28667786
Estonia,EST,2010,24.28198911
Luxembourg,LUX,2014,24.27870522
Austria,AUT,2013,24.27598451
Canada,CAN,1981,24.26742889
Slovakia,SVK,2004,24.25482916
Luxembourg,LUX,2013,24.2398727
Fiji,FJI,2019,24.23538659
Romania,ROU,1998,24.19835129
Hungary,HUN,2004,24.19818235
Hungary,HUN,1993,24.19461893
Azerbaijan,AZE,2005,24.18411233
Taiwan,TWN,1991,24.18019544
Sao Tome and Principe,STP,2010,24.1789804
South Korea,KOR,2010,24.17835337
Kosovo,OWID_KOS,2005,24.17548682
Luxembourg,LUX,2009,24.17210561
Tajikistan,TJK,2009,24.12948607
Germany,DEU,2014,24.11844363
Luxembourg,LUX,2016,24.11344367
Austria,AUT,2008,24.10980113
Ukraine,UKR,2006,24.10663477
Slovakia,SVK,2007,24.10552427
Switzerland,CHE,2002,24.09284511
Netherlands,NLD,2007,24.08458423
North Macedonia,MKD,2016,24.06859503
Austria,AUT,2014,24.06755689
Germany,DEU,2010,24.06612969
Germany,DEU,2004,24.05902433
Kosovo,OWID_KOS,2006,24.0518003
Hungary,HUN,2014,24.0428505
Belarus,BLR,2000,24.04126751
Denmark,DNK,2017,24.04075071
Serbia,SRB,2018,24.03867644
Belarus,BLR,1999,24.03558477
Italy,ITA,1991,24.0328169
Estonia,EST,2007,24.030481
Kyrgyzstan,KGZ,2020,24.03003479
South Korea,KOR,2016,24.02583374
Germany,DEU,2009,24.02194393
Belarus,BLR,2002,24.02110195
Indonesia - rural,,1984,24.00715996
Iceland,ISL,2009,24.00499588
South Korea,KOR,2006,24.00327454
Montenegro,MNE,2005,23.99612164
Belarus,BLR,2001,23.99433133
Timor,TLS,2014,23.98532101
Kyrgyzstan,KGZ,2002,23.98474267
Croatia,HRV,2014,23.97025097
Spain,ESP,2003,23.96860902
Germany,DEU,2003,23.96743525
Armenia,ARM,2011,23.96658047
Seychelles,SYC,2018,23.94854297
Germany,DEU,2001,23.94755598
France,FRA,2005,23.93492659
Hungary,HUN,2005,23.92807574
Netherlands,NLD,2019,23.92109957
Austria,AUT,2018,23.91724204
Kyrgyzstan,KGZ,2001,23.91723153
Hungary,HUN,2017,23.90395438
Luxembourg,LUX,2000,23.89431907
Hungary,HUN,2012,23.8934372
Belgium,BEL,2005,23.87669348
United Kingdom,GBR,1974,23.87547817
Romania,ROU,2006,23.87018121
Croatia,HRV,2012,23.86571015
Austria,AUT,2016,23.84869402
Austria,AUT,2007,23.84866421
Kyrgyzstan,KGZ,2013,23.84611367
Canada,CAN,1987,23.84489379
Austria,AUT,2004,23.84290911
Austria,AUT,2015,23.84265552
Denmark,DNK,2015,23.83117073
Hungary,HUN,1991,23.82363641
Canada,CAN,1997,23.82320412
Hungary,HUN,2016,23.8177558
Romania,ROU,2007,23.79831793
Hungary,HUN,2015,23.79087055
North Macedonia,MKD,2017,23.78986767
Luxembourg,LUX,1997,23.78039008
Serbia,SRB,2006,23.76720937
Malta,MLT,2009,23.76060781
Albania,ALB,2019,23.75788003
South Korea,KOR,2012,23.75603008
Romania,ROU,2002,23.74836491
Germany,DEU,2002,23.74613678
Slovenia,SVN,2003,23.74419439
Iceland,ISL,2004,23.73969788
Luxembourg,LUX,2010,23.72705874
Croatia,HRV,2011,23.72699378
Luxembourg,LUX,2004,23.72167239
Slovakia,SVK,2006,23.71702985
Austria,AUT,2006,23.711891
Romania,ROU,2003,23.70529405
Iraq,IRQ,2012,23.70467204
Croatia,HRV,2013,23.70085805
Netherlands,NLD,2004,23.69930423
Indonesia - rural,,2005,23.69866332
Armenia,ARM,2008,23.69014965
Denmark,DNK,2013,23.6878071
Austria,AUT,2011,23.6869972
Netherlands,NLD,2008,23.68434593
Luxembourg,LUX,2003,23.67495889
Denmark,DNK,2016,23.6725464
Kazakhstan,KAZ,2008,23.6474721
Indonesia - rural,,1987,23.64481558
South Korea,KOR,2014,23.63703419
Malta,MLT,2015,23.63339986
Czechia,CZE,1993,23.63183219
Bulgaria,BGR,2003,23.63102442
Iraq,IRQ,2006,23.62698591
Kyrgyzstan,KGZ,2018,23.62626181
Canada,CAN,1994,23.61736872
Moldova,MDA,2012,23.6095366
Canada,CAN,1991,23.60106155
Croatia,HRV,2004,23.59093353
Azerbaijan,AZE,2003,23.58696289
Belarus,BLR,2007,23.57022248
Austria,AUT,2010,23.56797794
Denmark,DNK,2014,23.56351371
China - rural,,1987,23.54280962
Belgium,BEL,2007,23.54219049
Romania,ROU,2004,23.53854864
Indonesia - rural,,1996,23.53807804
Denmark,DNK,2019,23.51792245
Romania,ROU,2005,23.51752321
France,FRA,2006,23.50885842
Denmark,DNK,2018,23.5073617
Kosovo,OWID_KOS,2012,23.49217925
China - urban,,1996,23.49144523
Kyrgyzstan,KGZ,2011,23.49000611
Iceland,ISL,2014,23.48272736
Sweden,SWE,1967,23.48251905
Austria,AUT,2003,23.46903271
Austria,AUT,2012,23.44865883
Kazakhstan,KAZ,2018,23.44627286
Austria,AUT,1997,23.4422522
Malta,MLT,2012,23.44088817
Romania,ROU,1999,23.44004577
Netherlands,NLD,2005,23.37640882
Tajikistan,TJK,1999,23.34681173
Norway,NOR,2003,23.346154
Ukraine,UKR,2003,23.3450398
Netherlands,NLD,2017,23.33695901
Malta,MLT,2017,23.33083174
Hungary,HUN,2019,23.33005534
Kyrgyzstan,KGZ,2003,23.32190486
Estonia,EST,2019,23.30927499
Romania,ROU,2000,23.3064514
Malta,MLT,2014,23.30521298
Australia,AUS,1981,23.30163624
Finland,FIN,2007,23.29383232
Netherlands,NLD,2014,23.29374226
Maldives,MDV,2019,23.28862605
Bangladesh,BGD,1991,23.2878692
Kyrgyzstan,KGZ,2017,23.28090464
Germany,DEU,1992,23.26779053
Moldova,MDA,2013,23.26431261
Sweden,SWE,2016,23.25712841
Slovakia,SVK,2008,23.2562963
Hungary,HUN,1999,23.24817249
Hungary,HUN,2006,23.24329007
Romania,ROU,2001,23.24099202
Finland,FIN,2004,23.23791192
Norway,NOR,2000,23.23625456
Hungary,HUN,2018,23.23576149
Croatia,HRV,2015,23.23242373
Montenegro,MNE,2006,23.22504332
Poland,POL,1992,23.21754288
Serbia,SRB,2007,23.21689182
Austria,AUT,2019,23.21370513
Kosovo,OWID_KOS,2003,23.2129826
Croatia,HRV,2016,23.20623102
Malta,MLT,2011,23.20302745
Ukraine,UKR,1999,23.19786812
Romania,ROU,2008,23.19537215
Germany,DEU,1999,23.18625038
Azerbaijan,AZE,2002,23.18553406
China - urban,,1993,23.17744692
Ukraine,UKR,2002,23.1684224
Ukraine,UKR,2005,23.16819171
Hungary,HUN,2011,23.16473203
Ukraine,UKR,1993,23.15940995
Malta,MLT,2013,23.15389088
Denmark,DNK,2012,23.13577231
Serbia,SRB,2015,23.13563537
Ukraine,UKR,2004,23.13255001
Kyrgyzstan,KGZ,2012,23.13075842
Kazakhstan,KAZ,2009,23.12880823
Malta,MLT,2016,23.1200268
Estonia,EST,2016,23.11425732
Czechia,CZE,2004,23.10654472
Germany,DEU,1991,23.1015658
Hungary,HUN,2010,23.09994149
Kazakhstan,KAZ,2010,23.08827021
Guinea,GIN,2018,23.08535091
Slovenia,SVN,2002,23.07595077
Norway,NOR,2016,23.05793918
Costa Rica,CRI,1986,23.05358663
Germany,DEU,2000,23.04786928
Germany,DEU,1994,23.04198352
Slovenia,SVN,1998,23.04071539
Serbia,SRB,2013,23.02726053
Netherlands,NLD,2015,23.02391859
Finland,FIN,2003,23.0225545
Serbia,SRB,2010,22.99374397
Austria,AUT,2017,22.99201356
Germany,DEU,1995,22.99034627
Finland,FIN,2006,22.98359623
Kazakhstan,KAZ,2017,22.97925068
Finland,FIN,2005,22.97534762
Netherlands,NLD,2018,22.9725702
Finland,FIN,2019,22.9664866
Finland,FIN,2008,22.9553779
Kazakhstan,KAZ,2011,22.95535061
North Macedonia,MKD,2018,22.95233909
Germany,DEU,1993,22.94940956
Czechia,CZE,2005,22.93940884
Kazakhstan,KAZ,2012,22.93629243
Albania,ALB,2012,22.93433964
Mongolia,MNG,1998,22.92161639
Armenia,ARM,2009,22.91877485
Kyrgyzstan,KGZ,2016,22.9106677
Sweden,SWE,2018,22.90932028
Netherlands,NLD,2016,22.90323413
Malta,MLT,2018,22.89275895
Sweden,SWE,2015,22.88693043
Kyrgyzstan,KGZ,2014,22.88504254
Czechia,CZE,2008,22.88448947
Timor,TLS,2007,22.88081165
Algeria,DZA,2011,22.86235803
Ukraine,UKR,1992,22.85483513
Belarus,BLR,2010,22.8535863
Kiribati,KIR,2019,22.85169723
Croatia,HRV,2017,22.8506888
Austria,AUT,2005,22.84990511
Belgium,BEL,1995,22.84579761
Croatia,HRV,1999,22.84109367
Serbia,SRB,2019,22.82722212
Hungary,HUN,2000,22.82299535
Netherlands,NLD,1993,22.80390105
Bulgaria,BGR,1997,22.76896962
Iceland,ISL,2016,22.76521804
Netherlands,NLD,2013,22.75990011
Finland,FIN,2011,22.75982359
Finland,FIN,2000,22.74558671
Albania,ALB,2018,22.74231233
Belgium,BEL,2010,22.74228878
Sweden,SWE,2019,22.73775031
Malta,MLT,2010,22.73481345
Croatia,HRV,2018,22.72488437
Belgium,BEL,2008,22.72453969
Kazakhstan,KAZ,2016,22.71709541
Austria,AUT,2000,22.71387978
Denmark,DNK,2011,22.71312497
Estonia,EST,1995,22.71059038
Belgium,BEL,2009,22.70916252
Romania,ROU,1994,22.69653104
Moldova,MDA,2016,22.69094162
Finland,FIN,2017,22.64917064
Montenegro,MNE,2010,22.64488101
Iceland,ISL,2003,22.63588985
Belarus,BLR,2003,22.63499886
Indonesia - rural,,1990,22.63375052
Malta,MLT,2007,22.62769222
Kazakhstan,KAZ,2014,22.62386662
Czechia,CZE,2006,22.62029158
Netherlands,NLD,1983,22.61043894
Finland,FIN,2018,22.59469393
Germany,DEU,1996,22.59438236
Czechia,CZE,2013,22.59282069
Kazakhstan,KAZ,2015,22.58604412
Finland,FIN,2009,22.58235561
Romania,ROU,2018,22.58012718
Netherlands,NLD,2011,22.57789422
Belarus,BLR,2009,22.57626625
Belarus,BLR,2014,22.56509809
Belarus,BLR,1995,22.54968054
Finland,FIN,2010,22.54591479
Czechia,CZE,2002,22.54428079
Denmark,DNK,2010,22.53283266
Moldova,MDA,2015,22.5265757
Kazakhstan,KAZ,2013,22.5148812
Iceland,ISL,2015,22.51138092
Netherlands,NLD,2012,22.4982978
Croatia,HRV,2010,22.49222175
Serbia,SRB,2009,22.49218567
Estonia,EST,2017,22.48676871
Serbia,SRB,2008,22.48660701
Malta,MLT,2008,22.48382664
Croatia,HRV,1998,22.48067582
Czechia,CZE,2010,22.44896853
Netherlands,NLD,2010,22.44527502
Estonia,EST,2018,22.44059196
China,CHN,1987,22.43456527
Finland,FIN,2016,22.43306839
Belgium,BEL,2014,22.41917749
Germany,DEU,1997,22.4159585
Slovakia,SVK,2009,22.41168556
Belgium,BEL,2006,22.40986585
Austria,AUT,1995,22.40929673
Belarus,BLR,2006,22.40242334
Finland,FIN,2015,22.40037113
Netherlands,NLD,2009,22.39056317
United Kingdom,GBR,1979,22.37805227
Czechia,CZE,2009,22.36771427
Sweden,SWE,2008,22.36665012
Indonesia - rural,,1993,22.36457201
Norway,NOR,2019,22.36248764
Belgium,BEL,2011,22.35160749
Ukraine,UKR,2019,22.33609421
Germany,DEU,1998,22.33331776
Belarus,BLR,2008,22.33080382
Sweden,SWE,2017,22.32860517
Czechia,CZE,2007,22.32055545
Belgium,BEL,2019,22.31832974
Finland,FIN,2012,22.28667945
Kosovo,OWID_KOS,2011,22.28520308
Norway,NOR,2015,22.27697219
Finland,FIN,2013,22.25097654
Belgium,BEL,2003,22.24552603
Belgium,BEL,2018,22.24361822
Luxembourg,LUX,1991,22.24119961
Czechia,CZE,2011,22.23894703
Croatia,HRV,2019,22.23529989
Sweden,SWE,2013,22.23128486
Belgium,BEL,2015,22.22709613
Hungary,HUN,2002,22.21155082
Norway,NOR,2007,22.2095012
North Macedonia,MKD,1998,22.20575592
Norway,NOR,2018,22.20568153
Romania,ROU,2016,22.1948134
Sweden,SWE,2014,22.1917509
Czechia,CZE,2012,22.16931507
Slovakia,SVK,2013,22.16521182
Indonesia - rural,,2002,22.15916089
Belgium,BEL,2016,22.15737265
Bulgaria,BGR,2007,22.15735179
Czechia,CZE,2014,22.14519936
Czechia,CZE,1996,22.13857611
Iceland,ISL,2011,22.13831977
China - rural,,1984,22.13233519
Czechia,CZE,2015,22.1298757
Sweden,SWE,2000,22.12029298
Hungary,HUN,2001,22.11799508
Romania,ROU,2009,22.11447976
Denmark,DNK,2007,22.10770802
Moldova,MDA,2014,22.09300147
Iceland,ISL,2012,22.0755903
Latvia,LVA,1993,22.06526445
Iceland,ISL,2017,22.06329368
Hungary,HUN,2008,22.06016017
Belarus,BLR,2013,22.05884112
Malta,MLT,2006,22.05168237
Ukraine,UKR,2007,22.0458832
Indonesia - rural,,2004,22.02263622
Iceland,ISL,2010,22.01897108
Finland,FIN,2014,22.01603061
Ukraine,UKR,2018,22.01096968
Indonesia - rural,,1998,22.01004951
Kosovo,OWID_KOS,2014,21.99907686
Netherlands,NLD,1987,21.99305505
Moldova,MDA,2019,21.98395048
Moldova,MDA,2018,21.95260661
Kosovo,OWID_KOS,2013,21.9475138
Belgium,BEL,2017,21.94677627
Czechia,CZE,2016,21.93964934
Belgium,BEL,2012,21.93682914
Hungary,HUN,1998,21.91044089
Ukraine,UKR,2008,21.90212165
Romania,ROU,2010,21.88730913
Bangladesh,BGD,1983,21.86562999
Luxembourg,LUX,1994,21.86445496
Slovakia,SVK,2010,21.8585793
Belarus,BLR,2011,21.85466944
Norway,NOR,1979,21.84733757
Belgium,BEL,2013,21.82653105
Poland,POL,1986,21.82414898
Sweden,SWE,2010,21.81374553
Norway,NOR,2008,21.81220313
Netherlands,NLD,1999,21.80609615
Kosovo,OWID_KOS,2016,21.80398091
Belarus,BLR,2005,21.80237616
Belarus,BLR,2012,21.79687064
Denmark,DNK,2009,21.77958432
Ukraine,UKR,2020,21.76691505
Denmark,DNK,2006,21.75876706
China,CHN,1981,21.73496971
Ukraine,UKR,2017,21.68463573
Norway,NOR,1995,21.68344343
Moldova,MDA,2017,21.66750066
Sweden,SWE,2007,21.65039589
Norway,NOR,2017,21.63072962
Hungary,HUN,1989,21.62884613
Denmark,DNK,1987,21.61107948
Norway,NOR,2014,21.61021093
Romania,ROU,2013,21.60730698
Sweden,SWE,2012,21.60387078
Poland,POL,1989,21.59915353
Ukraine,UKR,2015,21.58766368
Indonesia - rural,,2003,21.57165293
Sweden,SWE,2011,21.57013864
Belgium,BEL,1997,21.56831807
Luxembourg,LUX,1985,21.53678756
Kosovo,OWID_KOS,2015,21.53492679
Czechia,CZE,2018,21.51091414
Czechia,CZE,2019,21.4917253
Hungary,HUN,2009,21.47397551
Armenia,ARM,2020,21.47339633
Romania,ROU,2012,21.46303299
Czechia,CZE,2017,21.45550682
Sweden,SWE,2009,21.45257058
Romania,ROU,2011,21.44033293
United Arab Emirates,ARE,2013,21.43531546
Slovakia,SVK,1996,21.42452529
Slovenia,SVN,2013,21.4068692
Belarus,BLR,2018,21.39826554
Indonesia - rural,,1999,21.3857193
Denmark,DNK,2003,21.38372769
Belarus,BLR,2004,21.35055994
Iceland,ISL,2013,21.32523553
Belarus,BLR,2019,21.32320582
Norway,NOR,2013,21.31011704
China,CHN,1984,21.30304005
Norway,NOR,2009,21.28131337
Belarus,BLR,2017,21.27941326
Belarus,BLR,2016,21.26921394
Albania,ALB,1996,21.21557313
Belarus,BLR,2015,21.21172714
Ukraine,UKR,2016,21.20504506
Slovenia,SVN,2014,21.16996717
Poland,POL,1987,21.15989147
Norway,NOR,1991,21.1595986
Indonesia - rural,,2001,21.15948136
Norway,NOR,2006,21.15486271
Ukraine,UKR,2009,21.15335341
Sweden,SWE,2006,21.13876544
Sweden,SWE,2004,21.08206585
Ukraine,UKR,2013,21.07486706
Slovenia,SVN,2012,21.07356693
Belgium,BEL,1988,21.07165782
China - urban,,1990,21.06897055
Sweden,SWE,2005,21.06243276
Slovenia,SVN,2015,21.05658359
Denmark,DNK,2008,21.0430054
Indonesia - rural,,2000,20.99938812
Poland,POL,1993,20.99523392
Norway,NOR,2010,20.99243576
Bulgaria,BGR,1994,20.99201997
Ukraine,UKR,2010,20.98329238
Slovenia,SVN,2018,20.98089876
Denmark,DNK,2005,20.96280122
Slovakia,SVK,2011,20.96267966
Slovakia,SVK,2015,20.94116366
Norway,NOR,2012,20.86748447
Poland,POL,1985,20.86485723
Ukraine,UKR,2012,20.77301044
Slovenia,SVN,2011,20.76452894
Ukraine,UKR,2011,20.74978474
Slovenia,SVN,2019,20.74377702
Slovenia,SVN,2010,20.73619214
Belarus,BLR,2020,20.72852037
Denmark,DNK,2004,20.65321461
Slovenia,SVN,2004,20.64561566
Belgium,BEL,1985,20.64184007
Slovenia,SVN,2016,20.63375745
Slovenia,SVN,2009,20.62291417
Slovenia,SVN,2005,20.58223861
Ukraine,UKR,2014,20.57094423
Finland,FIN,1995,20.54394745
Norway,NOR,1986,20.52452095
China - rural,,1981,20.51910897
Denmark,DNK,1992,20.51795693
Slovakia,SVK,2012,20.50264691
Norway,NOR,2011,20.48951572
Slovenia,SVN,2017,20.44039454
Slovenia,SVN,1987,20.40051079
Slovenia,SVN,2007,20.38709835
Slovenia,SVN,2006,20.36004803
Slovakia,SVK,2014,20.27913675
Slovenia,SVN,1999,20.25650049
Slovenia,SVN,1997,20.24559285
Romania,ROU,1992,20.19240863
Denmark,DNK,2000,20.14654696
Sweden,SWE,2003,20.14189156
Belgium,BEL,1992,20.13567057
Slovenia,SVN,2008,20.13538002
Sweden,SWE,1992,20.05359882
Sweden,SWE,1995,20.04370396
Bulgaria,BGR,1989,20.02824913
Slovakia,SVK,2016,19.91485936
Denmark,DNK,1995,19.80455623
Finland,FIN,1991,19.62491433
Czechia,CZE,1992,19.57751442
Slovakia,SVK,2018,19.55337902
Sweden,SWE,1975,19.44617215
Belarus,BLR,1993,19.40481376
Austria,AUT,1987,19.28832075
Romania,ROU,1989,19.21183382
Finland,FIN,1987,19.1962451
Hungary,HUN,1987,19.00217041
Sweden,SWE,1987,18.9638786
Slovakia,SVK,2019,18.81612408
Slovakia,SVK,1992,18.60699256
Slovakia,SVK,2017,18.44994054
Sweden,SWE,1981,18.28802958
China - urban,,1987,18.09704743
China - urban,,1981,17.18140967
China - urban,,1984,16.9857886
